,始値,安値,終値,高値
2015-01-05,459,447,456,475
2015-01-06,444,438,443,451
2015-01-07,440,439,451,453
2015-01-08,457,446,448,457
2015-01-09,446,439,440,449
2015-01-13,433,424,434,439
2015-01-14,433,420,421,433
2015-01-15,421,421,428,432
2015-01-16,420,412,426,426
2015-01-19,430,421,433,436
2015-01-20,433,420,431,435
2015-01-21,425,418,423,428
2015-01-22,426,420,420,426
2015-01-23,425,421,426,428
2015-01-26,430,421,428,430
2015-01-27,428,425,429,430
2015-01-28,426,423,436,441
2015-01-29,432,430,431,435
2015-01-30,431,425,427,435
2015-02-02,428,422,423,433
2015-02-03,424,419,420,430
2015-02-04,426,418,419,426
2015-02-05,420,419,420,423
2015-02-06,420,415,417,421
2015-02-09,420,417,425,425
2015-02-10,422,422,428,429
2015-02-12,430,427,435,437
2015-02-13,436,430,436,440
2015-02-16,420,418,425,425
2015-02-17,430,425,425,433
2015-02-18,430,428,428,438
2015-02-19,433,422,424,433
2015-02-20,427,420,427,430
2015-02-23,428,427,434,434
2015-02-24,433,427,428,433
2015-02-25,431,427,431,438
2015-02-26,436,429,429,436
2015-02-27,449,439,447,473
2015-03-02,443,440,448,450
2015-03-03,446,425,430,446
2015-03-04,430,420,427,431
2015-03-05,427,425,426,433
2015-03-06,431,429,506,506
2015-03-09,556,523,606,606
2015-03-10,616,535,555,631
2015-03-11,537,522,655,655
2015-03-12,710,691,755,755
2015-03-13,734,703,873,905
2015-03-16,903,892,1023,1023
2015-03-17,1113,854,871,1154
2015-03-18,844,804,1021,1021
2015-03-19,976,940,1050,1100
2015-03-20,1008,860,882,1032
2015-03-23,925,884,907,959
2015-03-24,888,792,817,890
2015-03-25,802,764,804,847
2015-03-26,792,791,800,912
2015-03-27,845,835,900,910
2015-03-30,870,843,855,937
2015-03-31,826,800,845,863
2015-04-01,830,805,805,840
2015-04-02,805,777,809,848
2015-04-03,807,800,811,827
2015-04-06,829,824,871,884
2015-04-07,872,851,919,939
2015-04-08,910,855,890,945
2015-04-09,890,876,884,909
2015-04-10,890,865,873,892
2015-04-13,899,875,910,922
2015-04-14,925,913,1020,1060
2015-04-15,1029,986,1190,1197
2015-04-16,1220,1120,1152,1264
2015-04-17,1122,1079,1120,1215
2015-04-20,1080,1026,1028,1114
2015-04-21,1041,1005,1026,1096
2015-04-22,1037,1028,1094,1116
2015-04-23,1100,1065,1070,1109
2015-04-24,1088,1076,1095,1158
2015-04-27,1085,1083,1104,1135
2015-04-28,1119,1071,1085,1125
2015-04-30,1063,1010,1027,1076
2015-05-01,1029,990,1045,1045
2015-05-07,1055,1050,1150,1176
2015-05-08,1170,1091,1153,1197
2015-05-11,1180,1177,1280,1345
2015-05-12,1231,1220,1223,1335
2015-05-13,1220,1210,1408,1464
2015-05-14,1318,1280,1344,1436
2015-05-15,1335,1286,1301,1395
2015-05-18,1414,1305,1306,1433
2015-05-19,1281,1251,1331,1358
2015-05-20,1350,1290,1293,1358
2015-05-21,1315,1265,1268,1335
2015-05-22,1276,1257,1314,1314
2015-05-25,1344,1317,1329,1368
2015-05-26,1344,1331,1376,1390
2015-05-27,1460,1440,1512,1570
2015-05-28,1481,1411,1427,1507
2015-05-29,1500,1464,1642,1700
2015-06-01,1680,1673,2000,2038
2015-06-02,1927,1821,1895,2125
2015-06-03,1870,1830,1894,1992
2015-06-04,1995,1858,1858,2005
2015-06-05,1819,1707,1720,1853
2015-06-08,1689,1657,1743,1785
2015-06-09,1720,1590,1606,1752
2015-06-10,1566,1322,1352,1579
2015-06-11,1460,1360,1373,1480
2015-06-12,1425,1387,1600,1620
2015-06-15,1568,1533,1717,1736
2015-06-16,1778,1605,1626,1840
2015-06-17,1681,1640,1670,1728
2015-06-18,1670,1590,1615,1709
2015-06-19,1650,1437,1506,1668
2015-06-22,1506,1450,1499,1533
2015-06-23,1523,1451,1462,1560
2015-06-24,1473,1384,1408,1476
2015-06-25,1413,1360,1373,1475
2015-06-26,1380,1284,1301,1397
2015-06-29,1211,1210,1313,1383
2015-06-30,1310,1307,1430,1480
2015-07-01,1470,1420,1423,1515
2015-07-02,1453,1370,1395,1457
2015-07-03,1500,1424,1453,1530
2015-07-06,1393,1381,1435,1472
2015-07-07,1437,1411,1421,1467
2015-07-08,1411,1315,1339,1414
2015-07-09,1249,1160,1360,1366
2015-07-10,1339,1284,1284,1359
2015-07-13,1314,1303,1319,1353
2015-07-14,1356,1341,1374,1409
2015-07-15,1383,1342,1349,1396
2015-07-16,1349,1327,1352,1367
2015-07-17,1345,1316,1328,1351
2015-07-21,1340,1336,1398,1398
2015-07-22,1382,1374,1490,1493
2015-07-23,1529,1457,1480,1549
2015-07-24,1485,1416,1426,1488
2015-07-27,1414,1355,1374,1418
2015-07-28,1325,1320,1401,1410
2015-07-29,1406,1340,1346,1406
2015-07-30,1340,1325,1335,1372
2015-07-31,1320,1311,1345,1355
2015-08-03,1330,1303,1305,1353
2015-08-04,1313,1273,1285,1313
2015-08-05,1264,1196,1231,1266
2015-08-06,1244,1215,1221,1309
2015-08-07,1240,1212,1226,1250
2015-08-10,1230,1200,1200,1239
2015-08-11,1215,1177,1185,1218
2015-08-12,1185,1126,1132,1185
2015-08-13,1116,1035,1077,1147
2015-08-14,1120,1090,1197,1228
2015-08-17,988,981,1150,1167
2015-08-18,1121,1110,1181,1220
2015-08-19,1170,1112,1122,1186
2015-08-20,1150,1129,1129,1190
2015-08-21,1056,1051,1086,1122
2015-08-24,1040,888,894,1053
2015-08-25,850,780,910,1020
2015-08-26,985,950,1047,1054
2015-08-27,1050,1050,1073,1119
2015-08-28,1177,1140,1162,1216
2015-08-31,1155,1122,1150,1170
2015-09-01,1121,1056,1071,1131
2015-09-02,1000,990,1070,1107
2015-09-03,1105,1085,1215,1278
2015-09-04,1234,1086,1110,1278
2015-09-07,1080,1013,1036,1100
2015-09-08,1047,1000,1009,1080
2015-09-09,1082,1021,1044,1082
2015-09-10,1005,1002,1025,1045
2015-09-11,1012,1012,1044,1067
2015-09-14,1061,1014,1026,1077
2015-09-15,1023,1006,1007,1034
2015-09-16,1150,1091,1109,1170
2015-09-17,1100,1055,1083,1100
2015-09-18,1070,1055,1069,1086
2015-09-24,1052,1042,1060,1066
2015-09-25,1055,1023,1055,1072
2015-09-28,1080,1056,1084,1130
2015-09-29,1050,1033,1047,1054
2015-09-30,1064,1046,1080,1088
2015-10-01,1096,1055,1066,1105
2015-10-02,1036,1035,1065,1077
2015-10-05,1080,1067,1078,1119
2015-10-06,1075,1045,1047,1088
2015-10-07,1045,1021,1038,1046
2015-10-08,1041,1010,1010,1042
2015-10-09,996,973,998,1010
2015-10-13,982,945,950,985
2015-10-14,915,913,918,944
2015-10-15,904,902,950,954
2015-10-16,944,936,936,961
2015-10-19,923,907,908,927
2015-10-20,908,882,891,922
2015-10-21,900,883,940,955
2015-10-22,931,910,911,940
2015-10-23,924,916,922,943
2015-10-26,932,911,916,933
2015-10-27,916,906,912,924
2015-10-28,905,890,892,909
2015-10-29,895,835,850,898
2015-10-30,830,803,823,844
2015-11-02,814,794,808,821
2015-11-04,813,760,764,818
2015-11-05,757,715,739,758
2015-11-06,754,743,787,803
2015-11-09,779,765,787,791
2015-11-10,780,761,880,920
2015-11-11,858,842,860,900
2015-11-12,836,805,806,852
2015-11-13,802,777,799,839
2015-11-16,649,649,649,678
2015-11-17,657,642,659,675
2015-11-18,665,651,651,666
2015-11-19,661,653,722,740
2015-11-20,698,694,704,718
2015-11-24,718,700,705,721
2015-11-25,706,701,701,715
2015-11-26,710,686,694,710
2015-11-27,687,673,673,690
2015-11-30,663,658,667,675
2015-12-01,665,665,685,700
2015-12-02,676,667,675,684
2015-12-03,672,668,680,698
2015-12-04,670,668,683,689
2015-12-07,693,675,680,694
2015-12-08,680,668,669,682
2015-12-09,662,654,656,668
